
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-0.12484 -0.35035 0.00000 
-0.12779 -0.35435 0.00000 
-0.13078 -0.35836 0.00000 
-0.13380 -0.36236 0.00000 
-0.13685 -0.36637 0.00000 
-0.13994 -0.37037 0.00000 
-0.14141 -0.37227 0.00000 
-0.14312 -0.37437 0.00000 
-0.14639 -0.37838 0.00000 
-0.14970 -0.38238 0.00000 
-0.15304 -0.38639 0.00000 
-0.15641 -0.39039 0.00000 
-0.15983 -0.39439 0.00000 
-0.16327 -0.39840 0.00000 
-0.16675 -0.40240 0.00000 
-0.17027 -0.40641 0.00000 
-0.17382 -0.41041 0.00000 
-0.17740 -0.41441 0.00000 
-0.18102 -0.41842 0.00000 
-0.18182 -0.41929 0.00000 
-0.18482 -0.42242 0.00000 
-0.18869 -0.42643 0.00000 
-0.19261 -0.43043 0.00000 
-0.19655 -0.43443 0.00000 
-0.20054 -0.43844 0.00000 
-0.20456 -0.44244 0.00000 
-0.20862 -0.44645 0.00000 
-0.21271 -0.45045 0.00000 
-0.21684 -0.45445 0.00000 
-0.22101 -0.45846 0.00000 
-0.22222 -0.45961 0.00000 
-0.22541 -0.46246 0.00000 
-0.22993 -0.46647 0.00000 
-0.23448 -0.47047 0.00000 
-0.23908 -0.47447 0.00000 
-0.24371 -0.47848 0.00000 
-0.24839 -0.48248 0.00000 
-0.25310 -0.48649 0.00000 
-0.25785 -0.49049 0.00000 
-0.26263 -0.49448 0.00000 
-0.26788 -0.49850 0.00000 
-0.27315 -0.50250 0.00000 
-0.27847 -0.50651 0.00000 
-0.28383 -0.51051 0.00000 
-0.28924 -0.51451 0.00000 
-0.29468 -0.51852 0.00000 
-0.30017 -0.52252 0.00000 
-0.30303 -0.52459 0.00000 
-0.30598 -0.52653 0.00000 
-0.31215 -0.53053 0.00000 
-0.31837 -0.53453 0.00000 
-0.32463 -0.53854 0.00000 
-0.33094 -0.54254 0.00000 
-0.33729 -0.54655 0.00000 
-0.34343 -0.55039 0.00000 
-0.34373 -0.55055 0.00000 
-0.35107 -0.55455 0.00000 
-0.35846 -0.55856 0.00000 
-0.36591 -0.56256 0.00000 
-0.37341 -0.56657 0.00000 
-0.38096 -0.57057 0.00000 
-0.38384 -0.57209 0.00000 
-0.38943 -0.57457 0.00000 
-0.39848 -0.57858 0.00000 
-0.40760 -0.58258 0.00000 
-0.41678 -0.58659 0.00000 
-0.42424 -0.58982 0.00000 
-0.42648 -0.59059 0.00000 
-0.43814 -0.59459 0.00000 
-0.44988 -0.59860 0.00000 
-0.46170 -0.60260 0.00000 
-0.46465 -0.60360 0.00000 
-0.47701 -0.60661 0.00000 
-0.49357 -0.61061 0.00000 
-0.50505 -0.61337 0.00000 
-0.51393 -0.61461 0.00000 
-0.54265 -0.61862 0.00000 
-0.54545 -0.61901 0.00000 
-0.58586 -0.62030 0.00000 

# Contour 1, label: 
-0.00116 0.03403 0.00000 
-0.00090 0.03003 0.00000 
-0.00068 0.02603 0.00000 
-0.00049 0.02202 0.00000 
-0.00032 0.01802 0.00000 
-0.00020 0.01401 0.00000 
-0.00010 0.01001 0.00000 
-0.00004 0.00601 0.00000 
-0.00000 0.00200 0.00000 
-0.00000 -0.00200 0.00000 
-0.00004 -0.00601 0.00000 
-0.00010 -0.01001 0.00000 
-0.00020 -0.01401 0.00000 
-0.00032 -0.01802 0.00000 
-0.00049 -0.02202 0.00000 
-0.00068 -0.02603 0.00000 
-0.00090 -0.03003 0.00000 
-0.00116 -0.03403 0.00000 
-0.00145 -0.03804 0.00000 
-0.00177 -0.04204 0.00000 
-0.00212 -0.04605 0.00000 
-0.00251 -0.05005 0.00000 
-0.00292 -0.05405 0.00000 
-0.00337 -0.05806 0.00000 
-0.00385 -0.06206 0.00000 
-0.00437 -0.06607 0.00000 
-0.00491 -0.07007 0.00000 
-0.00549 -0.07407 0.00000 
-0.00610 -0.07808 0.00000 
-0.00674 -0.08208 0.00000 
-0.00741 -0.08609 0.00000 
-0.00812 -0.09009 0.00000 
-0.00886 -0.09409 0.00000 
-0.00963 -0.09810 0.00000 
-0.01043 -0.10210 0.00000 
-0.01126 -0.10611 0.00000 
-0.01213 -0.11011 0.00000 
-0.01303 -0.11411 0.00000 
-0.01396 -0.11812 0.00000 
-0.01492 -0.12212 0.00000 
-0.01591 -0.12613 0.00000 
-0.01694 -0.13013 0.00000 
-0.01800 -0.13413 0.00000 
-0.01909 -0.13814 0.00000 
-0.02020 -0.14210 0.00000 
-0.02137 -0.14615 0.00000 
-0.02257 -0.15015 0.00000 
-0.02379 -0.15415 0.00000 
-0.02505 -0.15816 0.00000 
-0.02634 -0.16216 0.00000 
-0.02766 -0.16617 0.00000 
-0.02901 -0.17017 0.00000 
-0.03040 -0.17417 0.00000 
-0.03182 -0.17818 0.00000 
-0.03327 -0.18218 0.00000 
-0.03475 -0.18619 0.00000 
-0.03627 -0.19019 0.00000 
-0.03781 -0.19419 0.00000 
-0.03939 -0.19820 0.00000 
-0.04100 -0.20220 0.00000 
-0.04265 -0.20621 0.00000 
-0.04432 -0.21021 0.00000 
-0.04603 -0.21421 0.00000 
-0.04777 -0.21822 0.00000 
-0.04955 -0.22222 0.00000 
-0.05135 -0.22623 0.00000 
-0.05319 -0.23023 0.00000 
-0.05506 -0.23423 0.00000 
-0.05696 -0.23824 0.00000 
-0.05889 -0.24224 0.00000 
-0.06061 -0.24573 0.00000 
-0.06087 -0.24625 0.00000 
-0.06289 -0.25025 0.00000 
-0.06495 -0.25425 0.00000 
-0.06705 -0.25826 0.00000 
-0.06918 -0.26226 0.00000 
-0.07133 -0.26627 0.00000 
-0.07353 -0.27027 0.00000 
-0.07575 -0.27427 0.00000 
-0.07801 -0.27828 0.00000 
-0.08030 -0.28228 0.00000 
-0.08262 -0.28629 0.00000 
-0.08498 -0.29029 0.00000 
-0.08737 -0.29429 0.00000 
-0.08979 -0.29830 0.00000 
-0.09224 -0.30230 0.00000 
-0.09473 -0.30631 0.00000 
-0.09725 -0.31031 0.00000 
-0.09980 -0.31431 0.00000 
-0.10101 -0.31619 0.00000 
-0.10242 -0.31832 0.00000 
-0.10510 -0.32232 0.00000 
-0.10782 -0.32633 0.00000 
-0.11057 -0.33033 0.00000 
-0.11336 -0.33433 0.00000 
-0.11618 -0.33834 0.00000 
-0.11903 -0.34234 0.00000 
-0.12192 -0.34635 0.00000 
-0.12484 -0.35035 0.00000 

# Contour 2, label: 
-0.17740 0.41441 0.00000 
-0.17382 0.41041 0.00000 
-0.17027 0.40641 0.00000 
-0.16675 0.40240 0.00000 
-0.16327 0.39840 0.00000 
-0.15983 0.39439 0.00000 
-0.15641 0.39039 0.00000 
-0.15304 0.38639 0.00000 
-0.14970 0.38238 0.00000 
-0.14639 0.37838 0.00000 
-0.14312 0.37437 0.00000 
-0.14141 0.37227 0.00000 
-0.13994 0.37037 0.00000 
-0.13685 0.36637 0.00000 
-0.13380 0.36236 0.00000 
-0.13078 0.35836 0.00000 
-0.12779 0.35435 0.00000 
-0.12484 0.35035 0.00000 
-0.12192 0.34635 0.00000 
-0.11903 0.34234 0.00000 
-0.11618 0.33834 0.00000 
-0.11336 0.33433 0.00000 
-0.11057 0.33033 0.00000 
-0.10782 0.32633 0.00000 
-0.10510 0.32232 0.00000 
-0.10242 0.31832 0.00000 
-0.10101 0.31619 0.00000 
-0.09980 0.31431 0.00000 
-0.09725 0.31031 0.00000 
-0.09473 0.30631 0.00000 
-0.09224 0.30230 0.00000 
-0.08979 0.29830 0.00000 
-0.08737 0.29429 0.00000 
-0.08498 0.29029 0.00000 
-0.08262 0.28629 0.00000 
-0.08030 0.28228 0.00000 
-0.07801 0.27828 0.00000 
-0.07575 0.27427 0.00000 
-0.07353 0.27027 0.00000 
-0.07133 0.26627 0.00000 
-0.06918 0.26226 0.00000 
-0.06705 0.25826 0.00000 
-0.06495 0.25425 0.00000 
-0.06289 0.25025 0.00000 
-0.06087 0.24625 0.00000 
-0.06061 0.24573 0.00000 
-0.05889 0.24224 0.00000 
-0.05696 0.23824 0.00000 
-0.05506 0.23423 0.00000 
-0.05319 0.23023 0.00000 
-0.05135 0.22623 0.00000 
-0.04955 0.22222 0.00000 
-0.04777 0.21822 0.00000 
-0.04603 0.21421 0.00000 
-0.04432 0.21021 0.00000 
-0.04265 0.20621 0.00000 
-0.04100 0.20220 0.00000 
-0.03939 0.19820 0.00000 
-0.03781 0.19419 0.00000 
-0.03627 0.19019 0.00000 
-0.03475 0.18619 0.00000 
-0.03327 0.18218 0.00000 
-0.03182 0.17818 0.00000 
-0.03040 0.17417 0.00000 
-0.02901 0.17017 0.00000 
-0.02766 0.16617 0.00000 
-0.02634 0.16216 0.00000 
-0.02505 0.15816 0.00000 
-0.02379 0.15415 0.00000 
-0.02257 0.15015 0.00000 
-0.02137 0.14615 0.00000 
-0.02021 0.14214 0.00000 
-0.01909 0.13814 0.00000 
-0.01800 0.13413 0.00000 
-0.01694 0.13013 0.00000 
-0.01591 0.12613 0.00000 
-0.01492 0.12212 0.00000 
-0.01396 0.11812 0.00000 
-0.01303 0.11411 0.00000 
-0.01213 0.11011 0.00000 
-0.01126 0.10611 0.00000 
-0.01043 0.10210 0.00000 
-0.00963 0.09810 0.00000 
-0.00886 0.09409 0.00000 
-0.00812 0.09009 0.00000 
-0.00741 0.08609 0.00000 
-0.00674 0.08208 0.00000 
-0.00610 0.07808 0.00000 
-0.00549 0.07407 0.00000 
-0.00491 0.07007 0.00000 
-0.00437 0.06607 0.00000 
-0.00385 0.06206 0.00000 
-0.00337 0.05806 0.00000 
-0.00292 0.05405 0.00000 
-0.00251 0.05005 0.00000 
-0.00212 0.04605 0.00000 
-0.00177 0.04204 0.00000 
-0.00145 0.03804 0.00000 
-0.00116 0.03403 0.00000 

# Contour 3, label: 
-0.83823 0.49850 0.00000 
-0.83477 0.50250 0.00000 
-0.83129 0.50651 0.00000 
-0.82828 0.50994 0.00000 
-0.82767 0.51051 0.00000 
-0.82340 0.51451 0.00000 
-0.81909 0.51852 0.00000 
-0.81474 0.52252 0.00000 
-0.81036 0.52653 0.00000 
-0.80595 0.53053 0.00000 
-0.80151 0.53453 0.00000 
-0.79703 0.53854 0.00000 
-0.79252 0.54254 0.00000 
-0.78797 0.54655 0.00000 
-0.78788 0.54663 0.00000 
-0.78228 0.55055 0.00000 
-0.77652 0.55455 0.00000 
-0.77072 0.55856 0.00000 
-0.76487 0.56256 0.00000 
-0.75899 0.56657 0.00000 
-0.75307 0.57057 0.00000 
-0.74747 0.57432 0.00000 
-0.74698 0.57457 0.00000 
-0.73912 0.57858 0.00000 
-0.73120 0.58258 0.00000 
-0.72323 0.58659 0.00000 
-0.71520 0.59059 0.00000 
-0.70712 0.59459 0.00000 
-0.70707 0.59462 0.00000 
-0.69565 0.59860 0.00000 
-0.68408 0.60260 0.00000 
-0.67244 0.60661 0.00000 
-0.66667 0.60858 0.00000 
-0.65693 0.61061 0.00000 
-0.63763 0.61461 0.00000 
-0.62626 0.61696 0.00000 
-0.60623 0.61862 0.00000 
-0.58586 0.62030 0.00000 
-0.54545 0.61901 0.00000 
-0.54265 0.61862 0.00000 
-0.51393 0.61461 0.00000 
-0.50505 0.61337 0.00000 
-0.49357 0.61061 0.00000 
-0.47701 0.60661 0.00000 
-0.46465 0.60360 0.00000 
-0.46170 0.60260 0.00000 
-0.44988 0.59860 0.00000 
-0.43814 0.59459 0.00000 
-0.42648 0.59059 0.00000 
-0.42424 0.58982 0.00000 
-0.41678 0.58659 0.00000 
-0.40760 0.58258 0.00000 
-0.39848 0.57858 0.00000 
-0.38943 0.57457 0.00000 
-0.38384 0.57209 0.00000 
-0.38096 0.57057 0.00000 
-0.37341 0.56657 0.00000 
-0.36591 0.56256 0.00000 
-0.35846 0.55856 0.00000 
-0.35107 0.55455 0.00000 
-0.34373 0.55055 0.00000 
-0.34343 0.55039 0.00000 
-0.33729 0.54655 0.00000 
-0.33094 0.54254 0.00000 
-0.32463 0.53854 0.00000 
-0.31837 0.53453 0.00000 
-0.31215 0.53053 0.00000 
-0.30598 0.52653 0.00000 
-0.30303 0.52459 0.00000 
-0.30017 0.52252 0.00000 
-0.29468 0.51852 0.00000 
-0.28924 0.51451 0.00000 
-0.28383 0.51051 0.00000 
-0.27847 0.50651 0.00000 
-0.27315 0.50250 0.00000 
-0.26788 0.49850 0.00000 
-0.26264 0.49449 0.00000 
-0.25785 0.49049 0.00000 
-0.25310 0.48649 0.00000 
-0.24839 0.48248 0.00000 
-0.24371 0.47848 0.00000 
-0.23908 0.47447 0.00000 
-0.23448 0.47047 0.00000 
-0.22993 0.46647 0.00000 
-0.22541 0.46246 0.00000 
-0.22222 0.45961 0.00000 
-0.22101 0.45846 0.00000 
-0.21684 0.45445 0.00000 
-0.21271 0.45045 0.00000 
-0.20862 0.44645 0.00000 
-0.20456 0.44244 0.00000 
-0.20054 0.43844 0.00000 
-0.19655 0.43443 0.00000 
-0.19261 0.43043 0.00000 
-0.18869 0.42643 0.00000 
-0.18482 0.42242 0.00000 
-0.18182 0.41929 0.00000 
-0.18102 0.41842 0.00000 
-0.17740 0.41441 0.00000 

# Contour 4, label: 
-0.99232 0.12212 0.00000 
-0.99183 0.12613 0.00000 
-0.99134 0.13013 0.00000 
-0.99082 0.13413 0.00000 
-0.99029 0.13814 0.00000 
